date,CCF,CCF_quality,TPP,TPP_quality,VNS,VNS_quality,FPT,FPT_quality,CAL,CAL_quality,COS,COS_quality,MOKE,MOKE_quality,GEO_A,GEO_A_quality,GEO_C,GEO_C_quality,binarized_FREWEIR,Horizon_15,Horizon_20,Horizon_25,Horizon_30,Horizon_35,Horizon_40,Horizon_45,Horizon_50,Horizon_55,Horizon_60,Horizon_65,Horizon_70,Horizon_75,Horizon_80
8/6/2023,6675.571429,0,4120.714286,0,3650.428571,0,17952,0,216,0,87.87142857,0,609.8571429,0,11800,0,4454.285714,0,0,20.89661026,20.58568764,20.33112526,19.85112762,19.30830002,18.93433762,18.55479622,18.15216637,17.66679382,17.22026443,16.82671928,16.43914032,16.05085564,15.57348156
8/7/2023,6648.571429,0,4208.142857,0,3626.857143,0,17817.57143,0,212.5714286,0,86.74285714,0,526.7142857,0,11757.14286,0,4391.428571,0,0,21.15001488,20.72213554,20.48127174,20.01217461,19.50531197,19.21307373,18.82399178,18.43888283,17.92816734,17.46237373,17.11099052,16.67314339,16.22887993,15.78689766
8/8/2023,6648.285714,0,4179.714286,0,3604.285714,0,17654.14286,0,207.5714286,0,85.54285714,0,475.1428571,0,11671.42857,0,4317.142857,0,0,21.15635681,20.77576256,20.53735161,20.05022812,19.54158401,19.20119095,18.81477737,18.41736221,17.91078568,17.46658897,17.10144806,16.71419144,16.29892159,15.89260197
8/9/2023,6647.285714,0,4175.857143,0,3536.714286,0,17523.57143,0,202.4285714,0,84.21428571,0,451,0,11557.14286,0,4274.285714,0,0,21.33088493,20.69451332,20.47555161,20.06601143,19.51975441,19.1957016,18.75461388,18.34362221,17.82266235,17.39777184,17.00819016,16.641325,16.24117088,15.82868385
8/10/2023,6648,0,4117.285714,0,3495.714286,0,17325.28571,0,200.7142857,0,82.78571429,0,455.4285714,0,11400,0,4208.571429,0,0,21.34370041,20.69283295,20.4789505,20.05621529,19.5137825,19.18371201,18.74360466,18.3351326,17.82705498,17.41129684,17.01441765,16.65052223,16.25366783,15.84653187
8/11/2023,6648.285714,0,4113.714286,0,3519,0,17115.28571,0,200.7142857,0,81.24285714,0,461.1428571,0,11228.57143,0,4144.285714,0,0,21.52924728,20.7947464,20.5055275,20.11580849,19.5843792,19.31159592,18.91769218,18.51063919,18.12319946,17.70381355,17.3109417,16.942379,16.53844833,16.09597397
8/12/2023,6409,0,4054.142857,0,3595,0,16961.14286,0,202.2857143,0,80.3,0,466.2857143,0,11085.71429,0,4091.428571,0,0,21.40745354,20.85315514,20.48990822,20.06059074,19.56775284,19.22112656,18.8756752,18.51056671,18.09794235,17.66662025,17.29514313,16.92392349,16.52204704,16.11671257
8/13/2023,6409.714286,0,4050.285714,0,3687.142857,0,16861.28571,0,204.2857143,0,79.67142857,0,471,0,10971.42857,0,4038.571429,0,0,21.37620926,20.80980301,20.50611687,20.06946564,19.58917046,19.26856041,18.87381172,18.5070858,18.11473656,17.70431328,17.31897926,16.91151428,16.54281616,16.11982918
8/14/2023,6436.285714,0,4042.142857,0,3802.428571,0,16775.57143,0,205.2857143,0,79.38571429,0,477,0,10885.71429,0,4025.714286,0,0,21.34962273,20.77995491,20.42986679,20.03427505,19.54383278,19.23029327,18.85457802,18.47867203,18.08189583,17.7189846,17.34237099,16.92946815,16.55586052,16.14842987
8/15/2023,6436.285714,0,4067.714286,0,3941.714286,0,16750.85714,0,206.7142857,0,79.04285714,0,474.7142857,0,10828.57143,0,4027.142857,0,0,21.2118454,20.67415428,20.22202873,19.80184364,19.45282555,19.15200806,18.8297348,18.48037148,18.06297302,17.6931591,17.30167389,16.89144897,16.46589279,16.03342438
